Isotopo,Egama,IN,Efic,sEfic,Eres,sEres,Na,Fz,Fa,D,C,S,W,NaCd,FZCd,FaCd,DCd,CCd,SCd,WCd,sNa,sFz,sFa,sD,sC,sS,sW,sNaCd,sFZCd,sFaCd,sDCd,sCCd,sSCd,sWCd,k0,sk0,FCd,sFCd,Gepi,sGepi,Gth,sGth,Alfa,sAlfa,FI,sFI,idouro
In-114,190.3,1,0.0027894,3.07E-05,6.41,0.9615,25.01,1.0172,1.007,0.91788,0.99498,0.00058317,0.001241,9.6306,1.0071,1.007,0.90684,0.9929,0.00058317,0.0013815,0.12999,0.0030595,0.010088,0,0,1.56E-05,6.26E-07,0.10614,0.0015106,0.005035,0,0,8.10E-07,6.91E-07,0.0010184,2.52E-05,0.986,0.0036,0.9995,0.0001,0.9912,0.0002,-0.0031,0.0047,46.021,0.99517,1
In-114,558.4,1,0.00094084,7.24E-06,6.41,0.9615,2.2557,1.0172,1.007,0.91788,0.99498,0.00058317,0.001241,0.8764,1.0071,1.007,0.90684,0.9929,0.00058317,0.0013815,0,0.0030388,0.0062981,0,0,1.56E-05,6.96E-07,0,0.0030641,0.0063156,0.00013786,0.00099845,2.96E-05,1.05E-08,0.00027254,3.66E-06,0.986,0.0036,0.9995,0.0001,0.9912,0.0002,-0.0031,0.0047,46.021,0.99517,1
In-114,725.2,1,0.00072871,5.03E-06,6.41,0.9615,1.7455,1.0172,1.007,0.91788,0.99498,0.00058317,0.001241,0.67555,1.0071,1.007,0.90684,0.9929,0.00058317,0.0013815,0,0.0030263,0.0060924,0,0,1.62E-06,1.32E-06,0,0.0030428,0.0061099,0.00013727,0.0009984,1.56E-05,6.73E-07,0.2726,3.67E-06,0.986,0.0036,0.9995,0.0001,0.9912,0.0002,-0.0031,0.0047,46.021,0.99517,1
W-187,479.53,2,0.0011008,8.59E-06,20.5,0.205,117.25,1.0607,1.0256,0.0037202,0.97599,0.0288,0.003105,10.008,1.0048,1.0256,0.0034021,0.79164,0.0288,0.003316,0.1464,0.0042432,0.00092304,5.32E-05,9.76E-05,8.00E-05,3.11E-06,0.014011,0.00036173,0.00092304,4.90E-05,0.00047498,8.00E-05,3.32E-06,0.03218,0.000653,0.99199,0.002,0.39048,0.011,0.959,0.008,-0.0031,0.0047,45.009,1.043,2
W-187,551.53,2,0.00095425,7.35E-06,20.5,0.205,23.187,1.0607,1.0216,0.0037202,0.97599,0.0288,0.003105,1.9731,1.0048,1.0216,0.0034021,0.79164,0.0288,0.003316,0.084599,0.0042432,0.00091944,5.32E-05,9.76E-05,8.00E-05,3.11E-06,0.0080897,0.00036173,0.00091944,4.90E-05,0.00047498,8.00E-05,3.32E-06,0.0073148,0.0001495,0.99199,0.002,0.39048,0.011,0.959,0.008,-0.0031,0.0047,45.009,1.043,2
W-187,618.36,2,0.00085187,6.22E-06,20.5,0.205,25.951,1.0607,1.019,0.0037202,0.97599,0.0288,0.003105,2.1986,1.0048,1.019,0.0034021,0.79164,0.0288,0.003316,0.077852,0.0042432,0.0009171,5.32E-05,9.76E-05,8.00E-05,3.11E-06,0.0074754,0.00036173,0.0009171,4.90E-05,0.00047498,8.00E-05,3.32E-06,0.0091492,0.0001859,0.99199,0.002,0.39048,0.011,0.959,0.008,-0.0031,0.0047,45.009,1.043,2
W-187,625.51,2,0.00084235,5.77E-06,20.5,0.205,4.4345,1.0607,1.0189,0.0037202,0.97599,0.0288,0.003105,0.37643,1.0048,1.0189,0.0034021,0.79164,0.0288,0.003316,0.082612,0.0042432,0.00091638,5.32E-05,9.76E-05,8.00E-05,3.11E-06,0.0077094,0.00036173,0.00091638,4.90E-05,0.00047498,8.00E-05,3.32E-06,0.0015808,3.87E-05,0.99199,0.002,0.39048,0.011,0.959,0.008,-0.0031,0.0047,45.009,1.043,2
W-187,685.77,2,0.0007708,5.40E-06,20.5,0.205,102.14,1.0607,1.0175,0.0037202,0.97599,0.0288,0.003105,8.7011,1.0048,1.0175,0.0034021,0.79164,0.0288,0.003316,0.12753,0.0042432,0.00091575,5.32E-05,9.76E-05,8.00E-05,3.11E-06,0.012182,0.00036173,0.00091575,4.90E-05,0.00047498,8.00E-05,3.32E-06,0.039728,0.00080176,0.99199,0.002,0.39048,0.011,0.959,0.008,-0.0031,0.0047,45.009,1.043,2
W-187,772.89,2,0.00068866,4.61E-06,20.5,0.205,13.762,1.0607,1.0155,0.0037202,0.97599,0.0288,0.003105,1.1762,1.0048,1.0155,0.0034021,0.79164,0.0288,0.003316,0.048835,0.0042432,0.00091395,5.32E-05,9.76E-05,8.00E-05,3.11E-06,0.0045872,0.00036173,0.00091395,4.90E-05,0.00047498,8.00E-05,3.32E-06,0.0059806,0.0001214,0.99199,0.002,0.39048,0.011,0.959,0.008,-0.0031,0.0047,45.009,1.043,2
Ir-192,295.96,3,0.0018309,1.37E-05,1.34,0.67,281.6,1.1622,1.0046,0.76711,0.9998,0.00039112,5.60E-05,14.566,1.0106,1.0046,0.82955,0.99696,0.00039112,3.60E-05,0.33357,0.0043,0.00090414,0,0,1.09E-06,5.60E-08,0.021993,0.0030824,0.00090414,0,0,1.09E-06,3.60E-08,1.1642,0.012098,0.78,0.02,0.9999,0.0001,0.9953,0.0011,-0.0031,0.0047,42.286,0.927,3
